NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Primary Outcome Measures,Sponsor,Enrollment,Study Type,Study Design,Start Date
NCT01889251,A Phase III Study of A01016 in Subjects With Symptomatic Vitreomacular Adhesion,https://clinicaltrials.gov/study/NCT01889251,COMPLETED,Symptomatic Vitreomacular Adhesion,DRUG: Ocriplasmin|DRUG: Sham injection,"Proportion of Subjects With Non-Surgical Resolution of Vitreomacular Adhesion (VMA), VMA (adhesion of the vitreous gel to the retina in an abnormally strong manner) was determined by masked Central Reading Center (CRC) Spectral Domain Optical Coherence Tomography (SD-OCT) evaluation. Only one eye (study eye) was analyzed. Proportion of subjects is reported as a percentage., Day 28",Alcon Research,251,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2013-07
NCT02073266,Impact of C3F8 or SF6 Use and Length of Face-down Positioning (7 vs 14 Days Respectively) in Macular Hole Surgery,https://clinicaltrials.gov/study/NCT02073266,COMPLETED,Macular Holes|Visual Acuity Gain|Cataract|Complications,"PROCEDURE: Macular hole surgery using a 25 G pars plana vitrectomy, ILM peeling, fluid-air exchange followed by air-gas exchange with SF6 or C3F8.","Macular hole closure and visual acuity gain, The primary purpose of the study was to compare the macular hole closure and visual acuity gain following vitrectomy using SF6 gas tamponade with 7 days of face-down positioning versus C3F8 gas tamponade with 14 days of face-down positioning., 1 year",CHU de Quebec-Universite Laval,59,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2010-01
NCT03287648,Simultaneous OCT and B-FAF in Eyes With Alteration of the Foveal Contour,https://clinicaltrials.gov/study/NCT03287648,RECRUITING,Lamellar Macular Hole|Lamellar Macular Pseudohole,DIAGNOSTIC_TEST: optical coherence tomography and blue-fundus autofluorescence,"Relationship between OCT and B-FAF findings, Measurements of the diameters of the holes expressed in microns, on OCT and B-FAF images respectively, will be collected. The topographic correlation between the area of increased B-FAF signal and the corresponding area on OCT, will be examined., 6 months",University of Molise,20,OBSERVATIONAL,Observational Model: |Time Perspective: p,2017-06-01
NCT05171621,Measuring Subjective Quality of Vision and Metamorphopsia Before and After Epiretinal Membrane and Macular Hole Surgery,https://clinicaltrials.gov/study/NCT05171621,COMPLETED,Ophthalmologic Complication|Epiretinal Membrane|Metamorphopsia|Macular Holes,,"Compare the responses of the McAllinden and Metamorphopsia Questionnaire, analysing changes to responses in the 2 questionnaires pre and post surgery, pre surgery and 2 - 3 months post surgery",Hayley Westwood,50,OBSERVATIONAL,Observational Model: |Time Perspective: p,2019-10-16
NCT01381965,Foveal Cone Outer Segment Resumption to Predict Visual Recovery After Macular Hole Surgery,https://clinicaltrials.gov/study/NCT01381965,COMPLETED,Macular Holes,PROCEDURE: Vitreous surgery for macular hole,"Visual acuity, Preoperative, postoperative 1, 3, 6, 9, 12 months, one year",Kyorin University,72,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: SINGLE (INVESTIGATOR)|Primary Purpose: TREATMENT,2008-03
NCT03465865,Visual Acuity and Optical Coherence Tomography One Year After ILM-flap Transposition,https://clinicaltrials.gov/study/NCT03465865,UNKNOWN,Macular Hole,DEVICE: optical coherence tomography,"OCT, macular hole closure is assessed with optical coherence tomography, 5 minutes",Vienna Institute for Research in Ocular Surgery,20,OBSERVATIONAL,Observational Model: |Time Perspective: p,2017-09-01
NCT05083650,Large Macular Hole Closure Rate With Amniotic Membrane Graft With and Without Limitorrhexis,https://clinicaltrials.gov/study/NCT05083650,UNKNOWN,Macular Holes,PROCEDURE: Macular hole closure with amniotic membrane with/without internal limiting membrane peeling,"% of macular hole clousure measured with OCT, Closure of the macular hole by optical coherence tomography, 6 months",Instituto de Oftalmología Fundación Conde de Valenciana,16,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: DOUBLE (PARTICIPANT, CARE_PROVIDER)|Primary Purpose: TREATMENT",2021-03-10
NCT02528045,Vitrectomy and Scleral Shortening for Macular Hole Retinal Detachment or Myopic Traction Maculopathy,https://clinicaltrials.gov/study/NCT02528045,COMPLETED,Macular Hole Retinal Detachment|Myopic Traction Maculopathy,PROCEDURE: Vitrectomy with scleral shortening,"Visual acuity before and after surgery, Comparison with logarithm of Minimum Angle of Resolution (logMAR) vision, 6 months",Kyorin University,16,OBSERVATIONAL,Observational Model: |Time Perspective: p,2012-06
NCT06079593,GaslEss Macular Hole Surgery,https://clinicaltrials.gov/study/NCT06079593,NOT_YET_RECRUITING,Macular Holes,PROCEDURE: Gasless Macular hole surgery|PROCEDURE: Standard Macular hole surgery,"Feasibility: Screen failure, Proportion of those screened who are randomised, 36 months|Feasibility: Recruitment rate, Recruitment rate (participants per site per month), 36 months|Feasibility: Participant retention, Proportion reaching month 6 milestone visit, 6 months|Feasibility: Cross-over, Proportion converting to standard vitrectomy with gas, due to inability to seal the FTMH, or detection of peripheral retinal breaks, 36 months",King's College Hospital NHS Trust,60,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: OTHER,2024-01-01
NCT04459949,Comparative Study of Sharkskin Versus Grieshaber Forceps During ILM Peeling,https://clinicaltrials.gov/study/NCT04459949,UNKNOWN,Epiretinal Membrane|Macular Holes,DEVICE: Sharkskin|DEVICE: Grieshaber,"Surgical time, During surgery",Wills Eye,100,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2020-07-06
NCT05269563,Double Flap Technique for Macular Hole,https://clinicaltrials.gov/study/NCT05269563,COMPLETED,Macular Holes,OTHER: Surgical intervention,"Ocular coherence tomography, The closure of the hole can be assessed clearly, The fourth week post-operatively",Omer Othman Abdullah,20,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-01-01
NCT00408720,Comparison of a Spectral OCT/SLO With the Stratus OCT for Imaging Various Retinal Pathologies,https://clinicaltrials.gov/study/NCT00408720,COMPLETED,Macular Hole|RPE Detachment|Epiretinal Membrane|Posterior Vitreous Detachment,,,The New York Eye & Ear Infirmary,25,OBSERVATIONAL,Observational Model: |Time Perspective: p,2006-10
NCT04957459,The Correlation of Preoperative Measurement Parameter on the Predicting of Visual Outcomes Among Patients With Idiopathic Macular Holes,https://clinicaltrials.gov/study/NCT04957459,UNKNOWN,Macular Holes,OTHER: No intervention,"Macular hole status, macular hole status (open, flat open or closed), at 1 month after surgery|MLD of macular hole, Calculation of minimum liner diameter of macular hole with optical coherence tomography angiography, Before surgery|BD of macular hole, Calculation of base diameter of macular hole with optical coherence tomography angiography, Before surgery|Choroidal hypertransmission width of macular hole, Calculation of Choroidal hypertransmission width of macular hole with optical coherence tomography angiography, Before surgery|Horizontal ellipsoid band missing diameter of macular hole, Calculation of Horizontal ellipsoid band missing diameter of macular hole with optical coherence tomography angiography, Before surgery|Baseline best-corrected visual acuity, best-corrected visual acuity were gauged with EDTRS charts,recorded in decimals and was converted to logarithm of the minimum angle of resolution units for statistical analysis, Before surgery|best-corrected visual acuity at 1 month, best-corrected visual acuity were gauged with EDTRS charts,recorded in decimals and was converted to logarithm of the minimum angle of resolution units for statistical analysis, at 1 month after surgery|best-corrected visual acuity at 2 months, best-corrected visual acuity were gauged with EDTRS charts,recorded in decimals and was converted to logarithm of the minimum angle of resolution units for statistical analysis, at 2 months after surgery|best-corrected visual acuity at 3 months, best-corrected visual acuity were gauged with EDTRS charts,recorded in decimals and was converted to logarithm of the minimum angle of resolution units for statistical analysis, at 3 months after surgery|best-corrected visual acuity at 4 months, best-corrected visual acuity were gauged with EDTRS charts,recorded in decimals and was converted to logarithm of the minimum angle of resolution units for statistical analysis, at 4 months after surgery|best-corrected visual acuity at 5 months, best-corrected visual acuity were gauged with EDTRS charts,recorded in decimals and was converted to logarithm of the minimum angle of resolution units for statistical analysis, at 5 months after surgery|best-corrected visual acuity at 6 months, best-corrected visual acuity were gauged with EDTRS charts,recorded in decimals and was converted to logarithm of the minimum angle of resolution units for statistical analysis, at 6 months after surgery|FAZ area of macular hole, Calculation of foveal avascular zone (FAZ) area of macular hole with optical coherence tomography angiography, Before surgery|FAZ area of macular hole at 1 month, Calculation of foveal avascular zone (FAZ) area of macular hole with optical coherence tomography angiography, at 1 month after surgery|FAZ area of macular hole at 2 months, Calculation of foveal avascular zone (FAZ) area of macular hole with optical coherence tomography angiography, at 2 months after surgery|FAZ area of macular hole at 3 months, Calculation of foveal avascular zone (FAZ) area of macular hole with optical coherence tomography angiography, at 3 months after surgery|FAZ area of macular hole at 4 months, Calculation of foveal avascular zone (FAZ) area of macular hole with optical coherence tomography angiography, at 4 months after surgery|FAZ area of macular hole at 5 months, Calculation of foveal avascular zone (FAZ) area of macular hole with optical coherence tomography angiography, at 5 months after surgery|FAZ area of macular hole at 6 months, Calculation of foveal avascular zone (FAZ) area of macular hole with optical coherence tomography angiography, at 6 months after surgery|CRT of macular hole, Calculation of central retinal thickness(CRT) of macular hole with optical coherence tomography angiography, Before surgery|CRT of macular hole at 1 month, Calculation of central retinal thickness(CRT) of macular hole with optical coherence tomography angiography, at 1 month after surgery|CRT of macular hole at 2 months, Calculation of central retinal thickness(CRT) of macular hole with optical coherence tomography angiography, at 2 months after surgery|CRT of macular hole at 3 months, Calculation of central retinal thickness(CRT) of macular hole with optical coherence tomography angiography, at 3 months after surgery|CRT of macular hole at 4 months, Calculation of central retinal thickness(CRT) of macular hole with optical coherence tomography angiography, at 4 months after surgery|CRT of macular hole at 5 months, Calculation of central retinal thickness(CRT) of macular hole with optical coherence tomography angiography, at 5 months after surgery|CRT of macular hole at 6 months, Calculation of central retinal thickness(CRT) of macular hole with optical coherence tomography angiography, at 6 months after surgery","Second Affiliated Hospital, School of Medicine, Zhejiang University",60,OBSERVATIONAL,Observational Model: |Time Perspective: p,2020-01-01
NCT03799575,Internal Limiting Membrane and Macular Hole,https://clinicaltrials.gov/study/NCT03799575,UNKNOWN,C11.768.740,BEHAVIORAL: Transmission Electron Microscopy analysis,"Fibrosis in vitreal sides of Internal Limiting Membranes, Fibrilliary process between two vitreal sides of Internal Limiting Membranes in contact, after incubation in enriched medium, 12 months","Hospital de Santa Maria, Portugal",10,OBSERVATIONAL,Observational Model: |Time Perspective: p,2019-01-02
NCT03437759,MSC-Exos Promote Healing of MHs,https://clinicaltrials.gov/study/NCT03437759,UNKNOWN,Macular Holes,BIOLOGICAL: exosomes derived from mesenchymal stem cells (MSC-Exo),"Macular holes closure, Minimum linear diameter (MLD) of the hole measured by OCT, baseline to 24 weeks post-surgery",Tianjin Medical University,44,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2017-03-01
NCT01680068,Air Tamponade in Macular Hole Surgery,https://clinicaltrials.gov/study/NCT01680068,COMPLETED,Macular Hole,PROCEDURE: Pars plana vitrectomy and postoperative air tamponade,"Closure rate of macular hole, 1 month after enrollment",Helse Stavanger HF,20,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2012-09
NCT02584062,Clinical Observation of Technologic Application of No-touch Fluid-air Exchange in Surgery of Idiopathic Macula Hole,https://clinicaltrials.gov/study/NCT02584062,COMPLETED,Idiopathic Macula Hole,PROCEDURE: no-touch fluid-air exchange|PROCEDURE: vitrectomy metrectomy and internal membrane peeling and gas tamponed,"the closure rate of Macular hole, the closure rate of macular hole through OCT, one month|the closure rate of Macular hole, the closure rate of Macular hole, three month|the closure rate of Macular hole, the closure rate of Macular hole, six month",Tianjin Medical University Eye Hospital,40,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2016-01-25
NCT02896972,Inverted Internal Limiting Membrane Flap Technique for Macular Hole Retinal Detachment in Highly Myopic Eyes,https://clinicaltrials.gov/study/NCT02896972,COMPLETED,Macular Hole Retinal Detachment,PROCEDURE: Vitrectomy,"Visual acuity before and after surgery, Changes from baseline to 1, 3, 6 months",Kyorin University,32,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2012-04
NCT01974310,Postoperative Positioning After Surgery for Macular Holes,https://clinicaltrials.gov/study/NCT01974310,COMPLETED,Macular Holes,PROCEDURE: Vitrectomy & Intraocular gas fill|PROCEDURE: Postoperative face-down positioning,"Macular hole closure rate, Macular hole closure rate assessed by optical coherence tomography, 3 months","Glostrup University Hospital, Copenhagen",68,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2013-10
NCT04135638,Inverted ILM-flap Techniques Variants for Macular Hole Surgery: Outcomes Comparison,https://clinicaltrials.gov/study/NCT04135638,UNKNOWN,Macular Holes,PROCEDURE: Cover Group|PROCEDURE: Fill Group,"Visual outcome linked to ""Cover"" and ""Fill"" procedures, To report :

- Best Corrected Visual Acuity (BCVA expressed in logMAR)

of idiopathic Macular Holes (MH) randomized to Cover Group (CG) or Fill Group (FG) of the Inverted Internal Limiting Membrane (ILM) flap surgical procedure., five months|Anatomical outcome linked to ""Cover"" and ""Fill"" procedures, To report:

- closure rate (μm)

of idiopathic Macular Holes (MH) randomized to Cover Group (CG) or Fill Group (FG) of the Inverted Internal Limiting Membrane (ILM) flap surgical procedure, five months",University of Molise,28,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: OTHER,2019-11-01
NCT05086588,Safety and Efficacy Evaluation of Two Different Brilliant Blue G Dyes as Staining Agent in Vitreo Retinal Surgery.,https://clinicaltrials.gov/study/NCT05086588,COMPLETED,Macular Holes|Epiretinal Membrane,,"Staining Ability of ILM, Staining of ILM is assed after dye injection with choosing Excellent/Good/ Needs to Improve by surgeon, Intra-Operatively|Change from Baseline to 1 Month, 3 Months and 6 Months in CMT (Central Macular Thickness), CMT (Central Macular Thickness) in micron meters is accessed with ocular coherence tomography, Pre-Op, 1 Month, 3 Month and 6 Month|Change from Baseline to 1 Month, 3 Months and 6 Months in TMV ( Total Macular Volume), TMV ( Total Macular Volume) in cubic millimeter is accessed with ocular coherence tomography, Pre-Op, 1 Month, 3 Month and 6 Month|Change from Baseline to 1 Month, 3 Months and 6 Months in SFCT (sub foveal choroidal thickness), SFCT (sub foveal choroidal thickness) in cubic meter is accessed with ocular coherence tomography, Pre-Op, 1 Month, 3 Month and 6 Month|Change from Baseline to 1 Month, 3 Months and 6 Months in Intra-retinal cuff pathology segmentation, Intra-retinal cuff pathology segmentation in micron meter is accessed with ocular coherence tomography, Pre-Op, 1 Month, 3 Month and 6 Month|Change from Baseline to 1 Month, 3 Months and 6 Months in RNFL Thickness (Retinal Nerve Fiber Layer), RNFL Thickness (Retinal Nerve Fiber Layer) in micron meter is accessed with ocular coherence tomography, Pre-Op, 1 Month, 3 Month and 6 Month|Change from Baseline to 1 Month, 3 Months and 6 Months in Hole diameter, Hole diameter in micron meter is accessed with ocular coherence tomography, Pre-Op, 1 Month, 3 Month and 6 Month|Change from Baseline to 1 Month, 3 Months and 6 Months in Optic Disc situation, Optic Disc situation is accessed with ocular coherence tomography, Pre-Op, 1 Month, 3 Month and 6 Month|Change from Baseline to 6 Month in Foveal perfusion characteristics, Foveal perfusion characteristics are assed with FFA(Fundus Fluorescein Angiography), Pre-Op, 6 Month|Change from Baseline to 6 Month in Vascular evaluation, Vascular evaluation is assed with FFA(Fundus Fluorescein Angiography), Pre-Op, 6 Month|Change from Baseline to 6 Month in Fundus auto fluorescence (FAF), Fundus auto fluorescence (FAF) are assed with FFA(Fundus Fluorescein Angiography), Pre-Op, 6 Month|Multifocal ERG, During multifocal ERG testing, the patient views a rapidly changing sequence on the monitor. The resulting electrical activity is recorded by an electrode, then amplified and analyzed. During stimulation the hexagons on the screen independently change every 13 milliseconds. They all follow the same pseudorandom sequence, with each hexagon starting at a slightly different position in this sequence. Using a cross-correlation technique, the software determines the retinal response from each of the 103 segments of the retina., Pre-op, 1 Month, 3 Month and 6 Month|Overview of Adverse Events, An AE could be any unfavorable and unintended symptom, sign, disease or condition, or test abnormality whether or not considered related to the investigational product. A serious adverse event (SAE was an AE resulting in any of the following outcomes or deemed significant for any other reason: death; initial or prolonged hospitalization; life-threatening experience (immediate risk of dying); persistent or significant disability/incapacity; congenital anomaly. Treatment-emergent AEs (TEAE): AEs that developed/worsened during the 'on treatment period' (from first dose of study device until the end of study period). Category ""AE"" included participant with both serious and non-serious AE., Through study completion, an average of 6 Months",Dr. Lutfi Kirdar Kartal Training and Research Hospital,86,OBSERVATIONAL,Observational Model: |Time Perspective: p,2018-04-04
NCT01228188,Inverted ILM Repositioning as Treatment for Full Thickness Macular Holes,https://clinicaltrials.gov/study/NCT01228188,UNKNOWN,Macular Holes,PROCEDURE: Inverted ILM Repositioning,"Best-corrected visual acuity (BCVA), postoperative macular hole closure type, BCVA for ETDRS chart (converted to logMAR) and postoperative macular hole closure type assessed by OCT: elevated-open, flat-open and flat-closed., up to 1 week before surgery|Best-corrected visual acuity (BCVA), postoperative macular hole closure type, BCVA for ETDRS chart (converted to logMAR) and postoperative macular hole closure type assessed by OCT: elevated-open, flat-open and flat-closed., 2 weeks postoperatively ( plus or minus 1 week)|Best-corrected visual acuity (BCVA), postoperative macular hole closure type, BCVA for ETDRS chart (converted to logMAR) and postoperative macular hole closure type assessed by OCT: elevated-open, flat-open and flat-closed., 4 weeks postoperatively ( plus or minus 1 week)|Best-corrected visual acuity (BCVA), postoperative macular hole closure type, BCVA for ETDRS chart (converted to logMAR) and postoperative macular hole closure type assessed by OCT: elevated-open, flat-open and flat-closed., 6 weeks postoperatively ( plus or minus 1 week)|Best-corrected visual acuity (BCVA), postoperative macular hole closure type, BCVA for ETDRS chart (converted to logMAR) and postoperative macular hole closure type assessed by OCT: elevated-open, flat-open and flat-closed., 12 weeks postoperatively ( plus or minus 1 week)|Best-corrected visual acuity (BCVA), postoperative macular hole closure type, BCVA for ETDRS chart (converted to logMAR) and postoperative macular hole closure type assessed by OCT: elevated-open, flat-open and flat-closed., 24 weeks postoperatively ( plus or minus 1 week)|Best-corrected visual acuity (BCVA), postoperative macular hole closure type, BCVA for ETDRS chart (converted to logMAR) and postoperative macular hole closure type assessed by OCT: elevated-open, flat-open and flat-closed., 48 weeks postoperatively ( plus or minus 1 week)",Military Institute od Medicine National Research Institute,25,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2010-08
NCT01121965,Early Vitrectomy for Impending Macular Hole,https://clinicaltrials.gov/study/NCT01121965,UNKNOWN,Retinal Perforation,PROCEDURE: Pars plana vitrectomy with ILM peeling,"Best Corrected Visual acuity, 48 weeks",Seoul Retina Investigator Group,60,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2009-11
NCT02628262,Fundus Autofluorescence After Macular Hole Surgery,https://clinicaltrials.gov/study/NCT02628262,COMPLETED,Macular Hole,PROCEDURE: Vitrectomy with internal limiting membrane removal and gas tamponade,"Visual acuity before and after surgery, Vision, Changes from baseline to 1,3, 6 months",Makoto Inoue,27,OBSERVATIONAL,Observational Model: |Time Perspective: p,2013-04
NCT01692938,Evaluation of the Precision of the Microperimetry Function of the Spectral OCT/SLO,https://clinicaltrials.gov/study/NCT01692938,COMPLETED,Age-Related Macular Degeneration|Geographic Atrophy|Diabetic Retinopathy|Macular Edema|Retinal Vein Occlusion|Central Serous Retinopathy|Pattern Dystrophy of Macula|Epiretinal Membrane|Macular Hole,,"Standard Deviation and Mean Test Results of Normal and With Pathology Participants Taken by 3 Different Operator-device Configurations, A precision study was conducted that used 3 devices (each with a different operator). Each device was used to measure 4 normal subjects and 4 subjects with relevant eye pathology, with a total of 24 subject eyes (12 normal, 12 with pathology) measured across all three devices. For each subject, one eye was evaluated using 3 tests with repositioning at the start of each test. Test results were given in decibels which is the unit used in microperimetry testing. Overall mean and standard deviation in decibels were calculated for the two groups: normal and with pathology., 1 Month|Repeatability of Microperimetry Tests in Normal and With Pathology Participants Based on 3 Microperimetry Tests Taken for Each Participant for a Given Operator-device Combination., A precision study was conducted that used 3 devices (each with a different operator). Each device was used to measure 4 normal subjects and 4 subjects with relevant eye pathology, with a total of 24 subject eyes (12 normal, 12 with pathology) measured across all three devices. Test results were given in decibels as that is the standard measurement in microperimetry testing. For each subject, one eye was evaluated using 3 microperimetry tests with repositioning at the start of each test. Overall Repeatability SD and Repeatability SD Limit were calculated for the two groups: normal and with pathology., 1 Month","Optos, PLC",32,OBSERVATIONAL,Observational Model: |Time Perspective: p,2012-10
NCT02010138,Extent of ILM Removal and Its Impact on Outcomes of MH Surgery,https://clinicaltrials.gov/study/NCT02010138,COMPLETED,Macular Holes,PROCEDURE: small-extent peeling|PROCEDURE: large-extent peeling,"Degree of foveal elongation, postoperative 6months",Samsung Medical Center,65,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2013-07
NCT00286637,Novel Diagnostics for Ocular Structure,https://clinicaltrials.gov/study/NCT00286637,RECRUITING,Glaucoma|Macular Disease,,"Novel Diagnostics for Ocular Structure, The purpose of this research is to evaluate novel technologies for the assessment of ocular structure and function, including the scanning device called Optical Coherence Tomography (OCT). We will test the OCT and other devices in their ability to image diseases of the eye and also compare the measurements made with OCT to those of other imaging and visual field devices approved by the Food and Drug Administration (FDA). OCT may be useful for the early diagnosis and monitoring of a variety of types of eye diseases, 5 years",NYU Langone Health,2767,OBSERVATIONAL,Observational Model: |Time Perspective: p,1995-01
NCT01306487,Observation of Recovery of Foveal Cone Microstructures After Macular Hole Surgery,https://clinicaltrials.gov/study/NCT01306487,COMPLETED,Macular Holes,PROCEDURE: Vitrectomy,"Foveal microstructure determined by optical coherence tomography, The integrity of the microstructures of the foveal photoreceptors; the inner segment/outer segment (IS/OS) junction, the external limiting membrane (ELM), and the cone outer segment tips (COST) line were determined by spectral domain optical coherence tomography., Preoperative and postoperative 1, 3, 6, 9, 12 months",Kyorin University,58,OBSERVATIONAL,Observational Model: |Time Perspective: p,2008-03
NCT03433547,Effects of Macular Buckle Versus Vitrectomy on Macular Hole and Macular Detachment in Highly Myopic Eyes,https://clinicaltrials.gov/study/NCT03433547,COMPLETED,Macular Holes|High Myopia|Macular Detachment,PROCEDURE: Buckle|PROCEDURE: Vitrectomy|OTHER: Limbal paracentesis|OTHER: Gas injection|OTHER: Peeling internal limiting membrane|OTHER: Gas tamponade,"Retinal re-attachment rate, Successful rate of reattachment of macular retina after surgery, 1 month",Sun Yat-sen University,50,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2018-01-30
NCT03244007,Evaluation of Retinal Microstructure Detected With Intraoperative Optical Coherence Tomography During Vitrectomy,https://clinicaltrials.gov/study/NCT03244007,COMPLETED,Macular Disease,PROCEDURE: Vitrectomy,"Recovery of microstructure, 6 months",Kyorin University,100,OBSERVATIONAL,Observational Model: |Time Perspective: p,2015-12-12
NCT00286507,Full Thickness Macular Hole and Internal Limiting Membrane Peeling Study,https://clinicaltrials.gov/study/NCT00286507,COMPLETED,Stage 2 or 3 Full Thickness Macular Hole,"PROCEDURE: Vitrectomy, post hyaloid detachment and gas injection with or without ILM peel.","The primary outcome of the study is the mean difference between treatment groups in the Early Treatment Diabetic Retinopathy Study (ETDRS) distance visual acuity score., 6 months post surgery",University of Aberdeen,141,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2005-07
NCT03020459,Internal Limiting Membrane Peeling-reposition to Treat Idiopathic Macular Holes,https://clinicaltrials.gov/study/NCT03020459,COMPLETED,Macular Hole|Surgery,PROCEDURE: peeling-reposition|PROCEDURE: peeling|DRUG: Brilliant Blue G|OTHER: postoperative posture|DEVICE: Constellation 23-gauge vitrectomy system,"Best corrected visual acuity(BCVA), Change from baseline BCVA at 6 months after operation, examined with snellen chart., Pre-operation and 6 months after operation","Xinhua Hospital, Shanghai Jiao Tong University School of Medicine",30,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2017-01-01
NCT01083056,Observational Study - ILM Peeling,https://clinicaltrials.gov/study/NCT01083056,COMPLETED,Epimacular Gliosis|Macular Hole,,"BCVA, 6 months after ILM peeling",University Hospital Tuebingen,10,OBSERVATIONAL,Observational Model: |Time Perspective: p,2010-03
NCT00190190,Internal Limiting Membrane Peeling for Large Macular Holes,https://clinicaltrials.gov/study/NCT00190190,COMPLETED,Macular Hole,PROCEDURE: With Peeling of Limiting the Intern of the Retina|PROCEDURE: Internal limiting membrane peeling,"percentage of success (anatomical closing, confirmed by OCT) at third postoperative month, in both groups, at 3 months",Assistance Publique - Hôpitaux de Paris,80,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2005-01
NCT06063005,Clinical Study of Translocated Internal Limiting Membrane Flap Reposition for the Treatment of Idiopathic Macular Hole,https://clinicaltrials.gov/study/NCT06063005,RECRUITING,Macular Holes,PROCEDURE: Translocation ILM Flap|PROCEDURE: ILM Peeling,"Best Corrected Visual Acuity, The best corrected visual acuity indicates the best visual acuity with proper refractive correction., 1 week, 1 month, 3 months, 1 years, 2 years after the operation","Xinhua Hospital, Shanghai Jiao Tong University School of Medicine",76,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2022-07-01
NCT01820520,Safety and Efficacy of Double Staining With Brilliant Blue G for Macular Surgery,https://clinicaltrials.gov/study/NCT01820520,UNKNOWN,Macular Hole|Epiretinal Membrane,DRUG: brilliant blue G,"Thickness of ganglion cell layer - inner plexiform layer measured by optical coherence tomography, Average thickness of ganglion cell layer - inner plexiform layer measured by spectral domain optical coherence tomography, 6 months|Amplitude of pattern reversal electroretinogram, Amplitude of pattern reversal electroretinogram (in microvolts), 6 months|Amplitude of b-wave of multifocal electroretinogram, Measurement of the amplitude of the b-wave of multifocal electroretinogram, 6 months",Asociación para Evitar la Ceguera en México,30,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2013-01
NCT02946372,Evaluation of a New Surgical Technique for Macular Hole Which Was Not Closed After a Previous Surgery,https://clinicaltrials.gov/study/NCT02946372,COMPLETED,Retinal Perforations,PROCEDURE: internal limiting membrane transplantation (ILMT),"Presence of the internal limiting membrane transposed into foveal region, 8 weeks after surgery",Groupe Hospitalier de la Region de Mulhouse et Sud Alsace,16,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2016-11
